"","book_id","title","author","no_of_copies_sold","price","year","ranks","ratings","genre"
"85",11223,"Diary of a Wimpy Kid: The Long Haul","Jeff Kinney",13520,11.99,2014,5,4.8,"Fiction"
"86",11226,"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",12674,24.29,2014,28,4.5,"Non Fiction"
"87",11229,"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",12674,24.29,2012,17,4.5,"Non Fiction"
"88",11233,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)","Valorie Schaefer",24552,9.48,2017,51,4.8,"Non Fiction"
"89",11237,"The Day the Crayons Came Home","Drew Daywalt",5389,13.64,2015,59,4.9,"Fiction"
"90",11252,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin",6354,54.98,2013,23,4.6,"Fiction"
"91",11258,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College","Doug Lemov",860,22.99,2010,26,4.5,"Non Fiction"
"92",11268,"Wacky Waving Inflatable Tube Guy (RP Minis)","Conor Riordan",47472,11.66,2020,42,4,"Fiction"
"93",11270,"A Visit from the Goon Squad","Jennifer Egan",4365,11.59,2011,76,4,"Fiction"
"94",11273,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer","Priscilla Shirer",10074,11.89,2016,58,4.9,"Non Fiction"
"95",11274,"Harry Potter Paperback Box Set (Books 1-7)","J. K. Rowling",91629,38.86,2018,98,4.9,"Fiction"
"96",11275,"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins",5803,16.5,2012,49,4.5,"Non Fiction"
"97",11276,"The Midnight Library: A Novel","Matt Haig",199570,13.29,2021,11,4.3,"Fiction"
"98",11287,"White Fragility: Why It's So Hard for White People to Talk About Racism","Dr. Robin DiAngelo",39920,8.15,2020,8,4.5,"Non Fiction"
"99",11291,"The Testaments: The Sequel to The Handmaid's Tale","Margaret Atwood",30465,14.99,2019,54,4.6,"Fiction"
"100",11295,"Burn After Writing (Pink)","Sharon Jones",78273,6.99,2021,23,4.6,"Non Fiction"
"101",11299,"Emotional Intelligence 2.0","Travis Bradberry",10429,14.98,2015,91,4.5,"Fiction"
"102",11300,"Crazy Love: Overwhelmed by a Relentless God","Francis Chan",1920,16.48,2009,38,4.7,"Non Fiction"
"103",11306,"What Should Danny Do? (The Power to Choose Series) (The Power to Choose, 1)","Adir Levy",22169,11.89,2021,94,4.8,"Fiction"
"104",11311,"A Dance with Dragons (A Song of Ice and Fire)","George R. R. Martin",17252,24.31,2011,13,4.5,"Fiction"
"105",11312,"Principles: Life and Work","Ray Dalio",12018,16.29,2018,61,4.6,"Non Fiction"
"106",11313,"The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals","Laurel Randolph",12578,8.97,2017,6,4.4,"Non Fiction"
"107",11315,"How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2)","The Oatmeal",10687,7.07,2012,55,4.5,"Fiction"
"108",11320,"Love You Forever","Robert Munsch",53161,4.98,2016,52,4.9,"Fiction"
"109",11324,"Moonwalking With Einstein: The Art and Science of Remembering Everything","Joshua Foer",5965,13.58,2011,58,4.5,"Non Fiction"
"110",11325,"Love You Forever","Robert Munsch",53161,4.98,2019,82,4.9,"Fiction"
"111",11333,"Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids)","Rob Elliott",5687,4.44,2016,63,4.5,"Non Fiction"
"112",11336,"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",12674,24.29,2016,37,4.5,"Non Fiction"
"113",11338,"Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition)","Jocko Willink",26082,14.49,2018,78,4.8,"Non Fiction"
"114",11342,"The Hunger Games","Suzanne Collins",42770,22.6,2012,84,4.7,"Fiction"
"115",11345,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor","Gina Homolka",8256,17.69,2014,79,4.7,"Non Fiction"
"116",11351,"Divine Healing Hands: Experience Divine Power to Heal You, Animals, and Nature, and to Transform All Life (Soul Power)","Zhi Gang Sha Dr.",153,23.95,2012,96,4.6,"Non Fiction"
"117",11353,"The Girl with the Dragon Tattoo (Millennium Series)","Stieg Larsson",15466,9.49,2009,27,4.5,"Fiction"
"118",11358,"Mockingjay (The Hunger Games)","Suzanne Collins",37034,9.08,2012,8,4.6,"Fiction"
"119",11360,"The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle","Amy Ramos",28721,6.98,2018,12,4.3,"Non Fiction"
"120",11363,"12 Rules for Life: An Antidote to Chaos","Jordan B. Peterson",58074,18.14,2021,81,4.8,"Non Fiction"
"121",11369,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon","Mary Pope Osborne",19363,11,2020,94,4.8,"Fiction"
"122",11371,"On Tyranny: Twenty Lessons from the Twentieth Century","Timothy Snyder",20340,6.38,2017,66,4.7,"Non Fiction"
"123",11374,"How to Draw 101 Animals (1)","Dan Green",24653,4.99,2019,96,4.7,"Non Fiction"
"124",11375,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","Steven D. Levitt",2373,17.54,2009,36,4.6,"Non Fiction"
"125",11386,"The Catcher in the Rye","J.D. Salinger",30925,8.99,2013,88,4.5,"Fiction"
"126",11387,"Camino Island: A Novel","John Grisham",23620,13.49,2017,69,4.3,"Fiction"
"127",11400,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)","E L James",37799,12.76,2015,24,4.5,"Fiction"
"128",11402,"The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook)","Dinah Bucholz",30623,9.99,2019,49,4.7,"Fiction"
"129",11406,"The Ballad of Songbirds and Snakes (A Hunger Games Novel)","Suzanne Collins",50700,13.99,2020,11,4.7,"Fiction"
"130",11414,"The Book with No Pictures","B. J. Novak",16882,9.9,2015,41,4.8,"Fiction"
"131",11415,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition","Patrick Lencioni",6296,20.72,2010,29,4.6,"Non Fiction"
"132",11417,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths","Gallup",766,17.89,2009,96,3.5,"Non Fiction"
"133",11418,"The Mueller Report","The Washington Post",4086,9.63,2019,50,4.5,"Non Fiction"
"134",11420,"Change Sings: A Children's Anthem","Amanda Gorman",4710,9.31,2021,65,4.9,"Non Fiction"
"135",11422,"Sarah's Key","Tatiana de Rosnay",4784,10.83,2009,78,4.6,"Fiction"
"136",11423,"Harry Potter Coloring Book","Scholastic",10136,14.39,2016,99,4.8,"Non Fiction"
"137",11426,"StrengthsFinder 2.0","Gallup",7082,18.29,2015,5,4.1,"Non Fiction"
"138",11431,"Good Vibes Coloring Book (Coloring is Fun) (Design Originals): 30 Beginner-Friendly & Relaxing Creative Art Activities; Positive Messages & Inspirational Quotes; Perforated Paper Resists Bleed Through","Thaneeya McArdle",7275,8.08,2016,83,4.7,"Non Fiction"
"139",11435,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)","Charlaine Harris",3567,9.99,2011,37,4.5,"Fiction"
"140",11436,"The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness","Dave Ramsey",24427,11.88,2019,47,4.7,"Non Fiction"
"141",11441,"To Kill a Mockingbird","Harper Lee",68842,17.36,2015,12,4.8,"Fiction"
"142",11443,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey",1676,19.99,2012,30,4.6,"Non Fiction"
"143",11448,"Little Fires Everywhere: A Novel","Celeste Ng",56899,9.99,2020,23,4.5,"Fiction"
"144",11457,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes","Zhi Gang Sha",60,16,2009,48,4.6,"Non Fiction"
"145",11458,"ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare","Nick J. Tate",1003,9.2,2013,79,3.8,"Non Fiction"
"146",11460,"Looking for Alaska","John Green",16845,8.99,2014,45,4.6,"Fiction"
"147",11461,"D&D Dungeon Master's Guide (Dungeons & Dragons Core Rulebook)","Wizards RPG",26151,27.97,2018,70,4.9,"Fiction"
"148",11464,"StrengthsFinder 2.0","Gallup",7082,18.29,2019,72,4.1,"Non Fiction"
"149",11467,"Oh, the Places You'll Go!Â Â ","Dr. Seuss",42848,8.48,2013,21,4.9,"Fiction"
"150",11472,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College","Doug Lemov",860,22.99,2011,46,4.5,"Non Fiction"
"151",11478,"The Great Gatsby: The Only Authorized Edition","F. Scott Fitzgerald",18656,6.79,2014,46,4.5,"Fiction"
"152",11486,"The Giver (Giver Quartet)","Lois Lowry",26262,17.1,2014,96,4.7,"Fiction"
"153",11488,"Allegiant","Veronica Roth",24591,12.04,2013,24,3.9,"Fiction"
"154",11493,"The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump","Gregg Jarrett",4750,14.35,2018,79,4.8,"Non Fiction"
"155",11502,"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",12674,24.29,2009,25,4.5,"Non Fiction"
"156",11503,"Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller","Gene Stone",2800,8.69,2012,78,4.5,"Non Fiction"
"157",11506,"The Girl on the Train","Paula Hawkins",91515,14.24,2015,9,4.1,"Fiction"
"158",11517,"Dune (Dune Chronicles, Book 1)","Frank Herbert",64912,12.01,2021,27,4.7,"Fiction"
"159",11522,"Option B: Facing Adversity, Building Resilience, and Finding Joy","Sheryl Sandberg",3057,15.29,2017,29,4.5,"Non Fiction"
"160",11529,"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)","Thug Kitchen",14418,25.99,2014,43,4.6,"Non Fiction"
"161",11531,"The Pout-Pout Fish","Deborah Diesen",23576,4.98,2018,30,4.9,"Fiction"
"162",11534,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","Marie Kondō",28111,8.32,2019,28,4.5,"Non Fiction"
"163",11537,"To Kill a Mockingbird","Harper Lee",68842,7.19,2019,41,4.8,"Fiction"
"164",11539,"The Very Hungry Caterpillar","Eric Carle",54008,4.93,2015,37,4.9,"Fiction"
"165",11542,"The Great Gatsby: The Only Authorized Edition","F. Scott Fitzgerald",18656,6.79,2012,33,4.5,"Fiction"
"166",11554,"Wonder","R. J. Palacio",35698,9.67,2012,86,4.8,"Fiction"
"167",11556,"Going Rogue: An American Life","Sarah Palin",1572,9.99,2009,5,4.6,"Non Fiction"
"168",11558,"Hungry Girl 300 Under 300: 300 Breakfast, Lunch & Dinner Dishes Under 300 Calories","Lisa Lillien",1156,20.25,2011,90,4.4,"Non Fiction"
"169",11562,"Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!","Jillian Michaels",929,9.79,2009,63,4.3,"Non Fiction"
"170",11564,"Humans of New York : Stories","Brandon Stanton",5061,16.12,2015,15,4.9,"Non Fiction"
"171",11566,"The Outsiders","S. E. Hinton",30584,9.49,2021,87,4.8,"Fiction"
"172",11571,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)","Valorie Schaefer",24552,9.48,2015,67,4.8,"Non Fiction"
"173",11575,"Chelsea Chelsea Bang Bang","Chelsea Handler",1045,9.65,2010,60,4.4,"Non Fiction"
"174",11576,"Quiet: The Power of Introverts in a World That Can't Stop Talking","Susan Cain",20015,23.01,2012,32,4.6,"Non Fiction"
"175",11578,"The Help","Kathryn Stockett",18068,10.49,2011,41,4.8,"Fiction"
"176",11579,"The Pioneer Woman Cooks: Recipes from an Accidental Country Girl","Ree Drummond",5477,14.52,2010,62,4.8,"Non Fiction"
"177",11582,"Giraffes Can't Dance","Giles Andreae",28447,6.9,2014,90,4.8,"Fiction"
"178",11583,"Educated: A Memoir","Tara Westover",69406,13,2019,3,4.7,"Non Fiction"
"179",11587,"The Twilight Saga Collection","Stephenie Meyer",6100,58.9,2009,9,4.7,"Fiction"
"180",11589,"Make Your Bed: Little Things That Can Change Your Life...And Maybe the World","Admiral William H. McRaven",29896,11.58,2017,16,4.7,"Non Fiction"
"181",11593,"Catching Fire (The Hunger Games)","Suzanne Collins",32459,9.49,2011,11,4.7,"Fiction"
"182",11598,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.",47193,4.55,2017,39,4.9,"Fiction"
"183",11599,"The Big Book of Silly Jokes for Kids","Carole P. Roman",20572,5.99,2020,44,4.7,"Non Fiction"
"184",11600,"Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, and Baking Biscuits","Reese Witherspoon",4743,15.74,2018,86,4.7,"Non Fiction"
"185",11601,"Crucial Conversations: Tools for Talking When Stakes are High","Kerry Patterson",772,17.99,2009,86,4.5,"Non Fiction"
"186",11608,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","Timothy Ferriss",6580,15.96,2011,25,4.4,"Non Fiction"
"187",11613,"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.","Jennifer Smith",13295,8.7,2018,41,4.4,"Non Fiction"
"188",11614,"Magnus Chase and the Gods of Asgard, Book 3 The Ship of the Dead (Magnus Chase and the Gods of Asgard, Book 3) (Magnus Chase and the Gods of Asgard, 3)","Rick Riordan",7021,11.21,2017,89,4.8,"Fiction"
"189",11617,"Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids)","M Prefontaine",28840,5.99,2021,63,4.6,"Non Fiction"
"190",11619,"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","David Grann",21828,14.59,2017,50,4.6,"Non Fiction"
"191",11621,"41: A Portrait of My Father","George W. Bush",2722,9.98,2014,56,4.7,"Non Fiction"
"192",11624,"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",12674,24.29,2015,38,4.5,"Non Fiction"
"193",11625,"The Litigators","John Grisham",11507,19,2011,39,4.5,"Fiction"
"194",11631,"The Pioneer Woman Cooks: Recipes from an Accidental Country Girl","Ree Drummond",5477,14.52,2012,95,4.8,"Non Fiction"
"195",11648,"The 17 Day Diet: A Doctor's Plan Designed for Rapid Results","Mike Moreno",3104,16.97,2012,65,4.3,"Non Fiction"
"196",11650,"Principles: Life and Work","Ray Dalio",12018,16.29,2017,91,4.6,"Non Fiction"
"197",11658,"Oh, the Places You'll Go!","Dr. Seuss",42848,8.48,2016,5,4.9,"Fiction"
"198",11659,"A Guide to the Project Management Body of Knowledge","Project Management Institute",726,24.33,2011,73,4.4,"Non Fiction"
"199",11662,"The Tattooist of Auschwitz: A Novel","Heather Morris",55794,9.57,2019,77,4.7,"Fiction"
"200",11665,"Thinking, Fast and Slow","Daniel Kahneman",29732,11.29,2015,87,4.6,"Non Fiction"
"201",11666,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand",33629,14.54,2013,51,4.8,"Non Fiction"
"202",11668,"The Day the Crayons Quit","Drew Daywalt",19898,9.19,2015,20,4.8,"Fiction"
"203",11672,"The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing","Benjamin Graham",39269,14.29,2021,84,4.7,"Non Fiction"
"204",11688,"I've Loved You Since Forever","Hoda Kotb",20854,10.38,2020,56,4.8,"Non Fiction"
"205",11690,"Dear Zoo: A Lift-the-Flap Book","Rod Campbell",26396,5,2019,69,4.8,"Fiction"
"206",11692,"The Jesus Storybook Bible: Every Story Whispers His Name","Sally Lloyd-Jones",11859,15.79,2013,74,4.9,"Non Fiction"
"207",11698,"The Pioneer Woman Cooksâ€•Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives","Ree Drummond",4803,16.05,2017,73,4.8,"Non Fiction"
"208",11699,"How to Draw 101 Animals (1)","Dan Green",24653,4.99,2018,80,4.7,"Non Fiction"
"209",11701,"Chicka Chicka Boom Boom (Board Book)","Bill Martin Jr.",33598,4.59,2014,97,4.9,"Fiction"
"210",11703,"SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle","Si Robertson",2029,8.24,2013,61,4.7,"Non Fiction"
"211",11712,"Killing Kennedy: The End of Camelot","Bill O'Reilly",10410,17.68,2012,16,4.6,"Non Fiction"
"212",11714,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz",86676,7.74,2017,23,4.7,"Non Fiction"
"213",11715,"Gray Mountain: A Novel","John Grisham",28293,16.21,2014,69,4.1,"Fiction"
"214",11717,"Love You Forever","Robert Munsch",53161,4.98,2018,72,4.9,"Fiction"
